name,brewery name,style,abv,hops,ibu,location,description
Pontoon in a Monsoon,Deep Creek Brewing Co.,,6.9,,80,CZ6,IPA. Citrus and pine with caramel malt
Menage a Trois,Deep Creek Brewing Co.,,6.6,,80,CZ6,"100% Brett fermented IPA, tropical fruit with a citrus twist"
Menage a Deux,Deep Creek Brewing Co.,,5,,40,CZ6,"100% Brett fermented, NZ hopped pale ale"
3D IPA,Deep Creek Brewing Co.,,6.6,,80,CZ6,"American IPA. Hop forward, citrus and pine"
Dweller on the Threshold,Deep Creek Brewing Co.,,7.3,,35,CZ6,"Whiskey barrel fermented Scotch Ale. Vanilla, Whiskey, Chocolate."
Plasma,Doctor's Orders Brewing,,7.5,,77,HZAB,"Wheat/White IPA. ""A winter hop injection for your bloodstream"""
Operation Paralysis,Doctor's Orders Brewing,,10,,150,HZAB,"Sixpoint Collaboration. Quad IPA. ""A teeth enamel eroding hop behemoth"""
Dr. Hops World Pale Ale,Dr. Hops,,5.8,,,NZPB,"Pale ale, fragrant, light caress of citrus"
Pilsner,Emerson's Brewery,,4.9,,40,CZ23,"Crisp, fruity, passionfruit, light"
1812 Pale Ale,Emerson's Brewery,,5,,45,CZ23,"Grapefruit, malt, citrus"
Bookbinder,Emerson's Brewery,,3.7,,30,CZ23,"Amber, fruity, malty, floral"
London Porter,Emerson's Brewery,,5,,38,CZ23,"Malty, roasty, chocolate, coffee"
Gladiator Bock,Emerson's Brewery,,7.2,,,CZ23,"Malty, rich and deceptive "
Bald Eagle DIPA,Emerson's Brewery,,8.9,,,CZ23,"Resiny, citrus, and rich malt character"
The Rapture,Emerson's Brewery,,7.1,,,CZ23,"Roasty, hop driven dark richness"
Black Op,Emerson's Brewery,,9.1,,,CZ23,"Full, resiny, and deceptive, roasted malts backing up big hop character"
Loves Bacon,Epic Brewing Co,,6.3,,32,CZ11,"Smokey bacon,  sweet caramel malt, like candied bacon in a glass"
Lupulingus,Epic Brewing Co,,9,,110,CZ11,"Ripe summer stonefruit, baked caramelized peaches, apricot, - fresh, piney hop resin, oily finish"
Imperium,Epic Brewing Co,,9,,45,CZ11,"Rich aroma of dark chocolate, salted caramel, plums, silky & voluptuous"
Hop Zombie,Epic Brewing Co,,8.5,,90,CZ11,"Passionfruit, ripe mango, pink guava, pale in colour"
Coffee & Fig Stout,Epic Brewing Co,,8,,45,CZ11,"Fresh coffee aroma, citrus, roasted malt, toasted coconut, rich dark fruit finish"
Funky Junkie,Feral Brewing,,4.7,,10,HZAB,"Sour Wild Ale,  Intensely Sour and Vinous"
Watermelon Warhead,Feral Brewing,,2.9,,8,HZAB,"Berlinerweisse, German Sour Wheat with Watermelon aged in Chardonnay Barrels"
Double DeckYa,Fiasco Brewing Company,,9.2,,67,CZBB,Imperial Black New Zealand IPA
Feisty Wheat,Fiasco Brewing Company,,5,,21,CZBB,American Wheat 
Bohemian Hipster,Fork Brewing,,5,,35,CZ18,"Avante Garde aromatics, lemon-citrus, biscuity malt, juicy bitterness"
Base Jumper,Fork Brewing,,6.3,,45,CZ18,"Citrus-turkish delight, caramel richness, flavourful bitter finish"
Back to Black,Fork Brewing,,5.2,,22,CZ18,"Chocolate-spice, caramel and fruity esters, peppery post script"
Big Tahuna,Fork Brewing,,6.7,,55,CZ18,"Citrus smash, tropical fruit marmalade, exhilarating balanced bitterness"
Low Blow,Fork Brewing,,4.7,,42,CZ18,"Pine resin punch, kiwifruit and gooseberry hook, clean bitter finesse"
Farmhouse du Fru Ju,Fork Brewing,,5,,20,CZ18,"Pepper-citrus aromatics, lemon and spice flavours, sessionable dry finish"
Parleyer Pilsner,Funk Estate,,4.9,,40,CZBB,"Passionfruit, grassy, light, crisp , refreshing"
So'phisticuffs IPA,Funk Estate,,6.5,,70,CZBB,"Citrus, piney, earthy, solid malt base, bitter"
Lager - Munich Style,Galbraith's Alehouse ,,5,,25,CZ8,"Full flavoured, crafted from authentic noble German hops and Moravian malt"
NZ Pale Ale,Galbraith's Alehouse ,,5,,40,CZ8,"Full-bodied beer, balanced by New Zealand Southern Cross hops"
Strong Ale,Galbraith's Alehouse ,,9,,50,CZ8,An intensely malty beer with a full-sensory experience
Santana APA,Galbraith's Alehouse ,,7.5,,70,CZ8,Whole-cone US Cascade hops gives citrus/stone fruit aroma
Rurik Imperial Russian Stout,Galbraith's Alehouse ,,7.5,,60,CZ8,Roast and flaked barley plus aged on lees - velvet choc-espresso
Old Glory NAPA,Galbraith's Alehouse ,,5.2,,30,CZ8,A crisp and balanced ale. Late-hopped with US Cascade
Wabi Sabi Sour,Garage Project,,7.8,,,CZ15,Yuzu Honeydew Imperial Sour Ale
Cereal Milk Stout,Garage Project,,5,,,CZ15,"Sweet Milk Stout brewed with lactose, four grains and cornflakes"
2 Pot Flat White,Garage Project,,7,,,CZ15,"Two separate beers, intentionally brewed to be blended. A strong shot of Imperial Coffee Stout topped up with a velvety smooth Milk Cream Ale poured on nitro"
#IPA,Garage Project,,7,,,CZ15,"Liquid nitrogen extracted, pure resin, dry #'d IPA"
Garagista with a Hop Drop ,Garage Project,,5.8,,,CZ15,"Double dry hopped IPA brewed with US, Kiwi and Australian hops. For extra kicks, Hop Drops available on request (while available)"
Tournasol ,Garage Project,,6.5,,,CZ15,"Golden Saison brewed with White Pepper, Coriander & Meyer Lemon Peel"
Vainglory,Garage Project,,11,,,CZ15,12 Month Barrel Aged Imperial Truffle Prune Porter… 'nuff said
PDXNZESB,Gigantic Brewing Company,,6.8,,45,NZPO,Collabo with 8 Wired. NZ and Oregon Hops - Pacifica and Crystal.
Gigantic IPA,Gigantic Brewing Company,,7.3,,80,NZPO,Citrusy Hop Confluence that continuously embiggens
Ginormous Imperial IPA,Gigantic Brewing Company,,8.8,,88,NZPO,Powered by seven mighty hops - delivering a massive hop punch
Too Much Coffee Man,Gigantic Brewing Company,,8.2,,24,NZPO,Imperial Black Saison with Cold Pressed Coava Coffee
India Pale Lager (IPL),Gigantic Brewing Company,,5.6,,35,NZPO,American NW Pilsner with Citra and Simcoe Hops
Boysen the Hood,Gigantic Brewing Company,,6.5,,18,NZPO,Tart Raspberry Belgian-Style beer
Volta Saison,Gigantic Brewing Company,,8.4,,32,NZPO,A Fruity and Spicy Summer Saison
Pipewrench,Gigantic Brewing Company,,8,,70,NZPO,Gigantic IPA aged in Ransom Old Tom Gin Barrels
Kiwifruit Sour,GOOD George Brewing,,3.7,,2,CZ25,"Our nod to the mighty Kiwifruit! Green & gold, tart, refreshing."
Biere de Garde,GOOD George Brewing,,6.5,,25,CZ25,"Warm bready notes, white grape, spicy, smooth"
IPA,GOOD George Brewing,,5.8,,48,CZ25,"Heady, tropical fruit, juicy, pithy, lingering bitterness"
White Ale,GOOD George Brewing,,4.5,,12,CZ25,"Sweet orange, bready, creamy, soft pepper, refreshing"
Sparkling Ale,GOOD George Brewing,,4.5,,25,CZ25,"Citrus, passionfruit, biscuit, crisp, thirst quenching"
Drop Hop Cider,GOOD George Brewing,,5,,0,CZ25,"Straw yellow, mango, passionfruit, grapefruit, sweet & sour"
Maximus IPA,Hallertau Brewery,,5.8,,50,CZBB,"Floral and fragrant hops with a soft, rich, maltiness."
Nocturne' Double Stout,Hallertau Brewery,,8.8,,45,CZBB,"Intense roasted flavours, solid hop bitterness and warming alcohol"
Grand Pale Ale,Hancock & Co Beer,,4.8,,34,CZ10,"A refreshing light, hoppy pale ale"
Colonial Wheat,Hancock & Co Beer,,4.9,,25,CZ10,An unfiltered wheat ale with a hint of hop goodness
Cradinal Red Ale,Hancock & Co Beer,,4.4,,27,CZ10,A hoppy malty red ale
Bismark Brown Ale,Hancock & Co Beer,,4.8,,24,CZ10,A Southern UK style brown ale
Poolside Pale Ale ,Hop Baron,,5,,40,HZFB,"Clean, refreshing and perfectly balanced with New Zealand Cascade Hops."
Red IPA,Hop Federation Brewery,,6.4,,49,CZBB,"Passionfruit aroma combined with maltiness, ruby grapefruit and berries"
Rakau IPA,Hop Federation Brewery,,5.7,,54,CZBB,"Tropical fruit flavours, with a rounded bittersweet finish"
Kauri Falls Pale Ale,Hot Water Brewing Co,,5.2,,40,CZBB,Well balanced hoppy New Zealand Pale Ale
Golden Steamer Ale,Hot Water Brewing Co,,4.5,,25,CZBB,"Crisp, refreshing, easy drinking Golden Ale"
Boysenbeery,Invercargill Brewery Ltd,,6.5,,12,HZFB,"15 kilos of juice/ 100 L means this is all berry up front, smooth in the middle with a dry finish"
Cthulhu on the Moon,Kaiju! Beer,,6.5,,60,HZAB,"Roasty, coffee and Panela flavours balanced by herbaceous citrus hoppiness"
Velvet Boot,Kereru Brewing Company,,8,,16,CZ19,"Spicy, rich and complex."
Kumara Brown Ale,Kereru Brewing Company,,5,,22,CZ19,"Bitter, brown and earthy."
Karengose,Kereru Brewing Company,,5,,15,CZ19,"Salty, lucious tang and wheaty."
Hop To It,Kereru Brewing Company,,5.9,,28,CZ19,"Marmalade, hops and dark toast."
Moonless Stout,Kereru Brewing Company,,4.5,,21,CZ19,"Chocolate, coffee and roasty."
Maidstone Lager,Kereru Brewing Company,,5,,12,CZ19,"Clean, crisp and golden."
Pilsner,Lakeman Brewing Co,,5.2,,,NZ3,"Straw- like colour, light lemon zest & light malt"
Pale Ale,Lakeman Brewing Co,,5.5,,,NZ3,"Pale amber colour, light citrus, malt & spice"
Taupo Pale Ale,Lakeman Brewing Co,,5.7,,,NZ3,"Amber appearance with grapefruit, passionfruit & citrus.Smooth malt"
Lahar APA,Lakeman Brewing Co,,5.6,,,NZ3,"Deep red in colour, blackcurrant, table grapes & grapefruit.Bitter"
Hairy Hop IPA,Lakeman Brewing Co,,6.3,,,NZ3,The colour of rusty nails. Summerfruit & Citrus
Worldly Scholar O.P.A.,Latitude 33,,5.3,,62,NZPB,Light bodied with a big fruity and dank hop character.
Knife Party American IPA,Liberty Brewing Co,,7.1,,80,HZ37,"Fresh fruity hops, savage dry bitterness, west coast IPA."
Yakima Monster APA,Liberty Brewing Co,,6,,45,HZ37,"Stonefruit,citrus, resinous hops balanced with caramel sweet malt."
Yakima Scarlet Hoppy Red,Liberty Brewing Co,,6.9,,40,HZ37,"Caramel, toffee,raisins intergrated with spruce grapefruit and spice."
Sauvignon Bomb  NZ IPA,Liberty Brewing Co,,7,,70,HZ37,"Passionfruit, guava, lychee, bitter, sweet, sweaty, zesty."
Darkest Days Oatmeal Stout,Liberty Brewing Co,,6,,60,HZ37,"Bitter cacao, burnt sugar, fruity chocolate, piney hops, dry finish."
C!tra IIPA,Liberty Brewing Co,,9,,99,HZ37,All the hops you will ever need in your life.
India Pale Ale,Little Creatures,,6.4,,60,CZ12,Big hop flavours and bitterness balanced with savoury notes
Pale Ale,Little Creatures,,5.2,,40,CZ12,"Bursting with citrus flavours, balanced with a firm bitterness"
American Brown ale,Little Creatures,,5.2,,35,CZ12,Chocolate & biscuit malts balanced with tropical hop flavours
Pilsner,Little Creatures,,4.6,,27,CZ12,Light refreshing pilsner with a crisp bitter finish
Rogers,Little Creatures,,3.8,,24,CZ12,Light citrus hop notes and velvet smooth toffee notes
Lisa,Lobethal Bierhaus,,5,,25,HZAB,Fennel & orange zest infused Kolsch 
Brewed Awakening,Mac's,,5.2,,,CZ21,Roasted coffee and caramel flavours with a smooth creaminess
Three Wolves,Mac's,,5.1,,,CZ21,Citrus & tropical fruit flavours balanced with a firm bitterness
Sassy Red,Mac's,,4.5,,30,CZ21,Bursting with spicy aromas and caramelised toffee flavours
Hop Rocker,Mac's,,5,,31,CZ21,Full citrus aromas with a crisp bitter finish
Black Mac,Mac's,,4.8,,30,CZ21,"Caramel, liquorice and chocolate flavours with a smooth bitterness"
Great White,Mac's,,5,,10,CZ21,"Orange peel, coriander, banana & turkish delight"
Copy Cat AIPA,Mash Brewing,,6.8,,70,HZAB,"Big aroma, delightful resinous bitterness! Champion IPA at AIBA 2014"
Rye Porter,Mash Brewing,,4,,26,HZAB,"Nutty, coffee, sweet and spicy malts. Small, simple, complex"
Mata Mataccino ,Mata,,6,,,NZPB,"Chocolate, coffee & vanilla Porter with fresh roast coffee and cacao"
Stoke Braggot,McCashins Brewery,,11.4,,18,HZ27,"Honey ale which originated in Scotland, developed by the picts people of scotland."
Stoke Red IPA,McCashins Brewery,,6,,48,HZ27,Deep red hoppy ale with a fruity aroma.
Stoke Seasonal Great Oak Red Ale,McCashins Brewery,,4.8,,28,HZ27,Bold malty ale that is rich and dry.
Stoke Chilli Beer,McCashins Brewery,,5,,24,HZ27,Red fiery ale with a bite.
Stoke Chestnut Ale,McCashins Brewery,,5.5,,25,HZ27,A golden ale with chestnut and banana characteristics
Moa Original Ale,Moa Brewing Company,,5,,,HZ26,Classically brewed lager
Moa Session Pale Ale ,Moa Brewing Company,,5,,,HZ26,"An easy drinking, balanced, new world style Pale Ale"
Moa Southern Alps,Moa Brewing Company,,6.4,,,HZ26,Belgian Wit and IPA fusion
Moa Imperial Stout,Moa Brewing Company,,10.2,,,HZ26,French Oak Aged Stout Ale
Moa Sour Blanc - Special Reserve,Moa Brewing Company,,6,,,HZ26,Traditional Belgian Lambic style sour beer. A riot of flavours
Moa Royal - Special Reserve,Moa Brewing Company,,9.1,,,HZ26,"Belgian Double IPA. Big, bold and beautifully balanced"
Moa Methode Pilsner,Moa Brewing Company,,5,,,HZ26,"A clean, crisp Pilsner style lager with a dry finish"
Moa South Pacific IPA,Moa Brewing Company,,5,,,HZ26,A New Zealand take on a popular North American beer style
Moa St Josephs,Moa Brewing Company,,9.5,,,HZ26,Classic Belgian Tripel
Moa Five Hop,Moa Brewing Company,,6.2,,,HZ26,A New Zealand take on a traditional English Ale
Moa Cherry Sour - Special Reserve,Moa Brewing Company,,7.2,,,HZ26,A barrel fermented and aged cherry sour beer
Monteith's Brewer’s Series APA,Monteith's Brewing Co.,,5.7,,40,HZ28,Brewed with American Citra hops. Passionfruit and citrus aromatics
Monteith'sBrewer’s Series IPA,Monteith's Brewing Co.,,5.5,,35,HZ28,The Cascade and special New Zealand hops create a fruity aroma with a dose of bitterness
Monteiths's Brewer’s Series Ginger Beer,Monteith's Brewing Co.,,4.5,,5,HZ28,The fermentation of fresh ginger flavours provides a clean and crisp ginger beer
Monteiths Brewer’s Series Velvet Stout,Monteith's Brewing Co.,,4.9,,30,HZ28,"A mix of oats, chocolate and roasted malts gives this Velvet Stout a smooth silky flavour"
Monteiths Brewer’s Series Barrel Aged Porter,Monteith's Brewing Co.,,6.5,,31,HZ28,A delicious dark beer influenced by American oak pinot noir barrels
Monteith’s Brewer’s Series Imperial Pilsner,Monteith's Brewing Co.,,7,,45,HZ28,The mellow malt is married with a clean sharp bitterness from a blend of four hop varieties
Monteith’s Brewer’s Series Double Hopped IPA,Monteith's Brewing Co.,,7.5,,65,HZ28,A bold IPA with a concentrated malt flavour and sweetness
Monteith’s Brewer’s Series Heritage Style Cider,Monteith's Brewing Co.,,5,,,HZ28,A cider crafted in the traditional style. Fresh apple aroma's lead to a full bodied palate
Monteith’s Brewer’s Series Pear and Ginger Cider,Monteith's Brewing Co.,,5.5,,,HZ28,A punchy pear cider fermented with fresh root ginger
Monteith’s Southern Pale Ale,Monteith's Brewing Co.,,4.6,,,HZ28,Big fruity aroma's with a mild hop character
Moo Brew Seasonal Stout,Moo Brew,,7.3,,55,HZAB,"A smooth rich pallet, balanced with firm hop bitterness"
Mornington Peninsula Brown Ale,Mornington Peninsula Brewery,,5,,28,HZAB,"Rich toffee aromas, malty cocoa palate"
India Dark Ale,Mount Brewing Co,,6,,60,CZBB,Resinous pine tropical aroma and hint of chocolate flavour
Mermaids Mirth,Mount Brewing Co,,6,,50,CZBB,"Big sweet citrus fruit and aroma, tangerine"
Steam Ale,Mountain Goat Brewery,,4.5,,22,CZ7,"A crisp, certified organic ale. Cascade and Citra hops give fresh, zippy finish. "
Hightail Ale,Mountain Goat Brewery,,4.5,,28,CZ7,"English inspired amber ale. A rich malt body, floral hop aroma"
India Pale Ale,Mountain Goat Brewery,,6.2,,65,CZ7,"A copper amber IPA. Brewed with Citra, Galaxy and Motueka hops."
Fancy Pants Amber,Mountain Goat Brewery,,5.2,,40,CZ7,"A lovely blend of  fruity hops, caramel and toffee malts"
Surefoot Stout,Mountain Goat Brewery,,5,,30,CZ7,"A sweet stout, full of dark roasted malts."
The Mike,Mountain Goat Brewery,,6.1,,21,CZ7,A pale German Helles style lager beer with a smokey kick
Auld Bulgin' Bicep,Murrays Brewing,,10,,,HZAB,"Smoked Belgio Imperial Mussel and Oyster Stout. Chocolate, peaty smoke, briny finish."
Nail HUGhE Dunn (Pronounced HUGE Dunn),Nail Brewing Australia,,8,,45,HZAB,"Rich & complex, a beer to appreciate the good things in life"
Sideways Pale Ale,Nomad,,4,,,HZAB,"A new intensely hopped pale, bursting with Aussie & American hops, shattering all myths on low ABV beers"
Amber,North End Brewing,,4.4,,20,HZ36,"Marmalade, whole grain malt, citrus and caramel"
E.S.B,North End Brewing,,5.8,,36,HZ36,"Marmalade, tangerine, toffee, orange fruit and malt loaf"
Super Alpha Golden Ale,North End Brewing,,5,,25,HZ36,"Lemongrass, grapefruit , lime and thai spice"
Fourty South,North End Brewing,,6,,52,HZ36,"Heather, lemon, lime, caramel, resinous "
Field Way A.P.A,North End Brewing,,5.8,,50,HZ36,"Herbal, citrus, melon fruit, tropical and biscuity  "
Blanc De Houblon,North End Brewing,,7,,55,HZ36,"Pepper, spice, tropical, citrus , tangy and bitter   "
Quickchange XPA,Panhead Custom Ales,,4.6,,25,HZ34,Golden Ale hopped with Mosaic and Citra 
Port Road Pilsner,Panhead Custom Ales,,5.2,,40,HZ34,"New Zealand Styled Pilsner, Nelson Sauvin, Riwaka "
Supercharger APA,Panhead Custom Ales,,5.7,,50,HZ34,Our take on an American Classic Pale Ale
Blacktop Oat Stout,Panhead Custom Ales,,5.5,,25,HZ34,"Black and rich. Loads of coffee and choc, even tiramisu"
The Vandal NZIIPA,Panhead Custom Ales,,8,,90,HZ34,"All Cones in this custom IIPA, Nelson Sauvin, Riwaka and Kohatu"
Boss Hog USIPA,Panhead Custom Ales,,7,,75,HZ34,"American IPA. New styled, new Hops, Legacy and El Darado "
Otis (Oatmeal Stout),ParrotDog ,,6.3,,25,CZ20,"Dark, rich malt and silky smooth."
Sleuthhound (Scotch Ale),ParrotDog ,,6.6,,25,CZ20,"Dark red, rich malt with a hint of peat smoke."
PitBull (American IPA),ParrotDog ,,7,,80,CZ20,Deep golden malt with loads of US hops.
BloodyDingo (Imperial Red IPA),ParrotDog ,,7.7,,80,CZ20,"Red, malty and packed full of US hops."
RiwakaSecret (Double IPA),ParrotDog ,,7.9,,60,CZ20,Pale gold and crammed full of NZ and AUS hops.
DevilBird (Belgian Golden Strong Ale),ParrotDog ,,8.4,,25,CZ20,Pale gold with hints of fruit and spice. Dry finish.
Barrel-Aged Otis,ParrotDog ,,7,,25,CZ20,"Dark, rich malt and slightly sour. "
Barrel-Aged Sleuthhound ,ParrotDog ,,7,,25,CZ20,"Dark red, rich malt and slightly sour. "
Unite Pale Ale,Pink Boots- brewed by Beer Baroness,,4,,25,NZPB,Pink Boots IWCB Pale Ale brewed with NZ Hops
Wry Red RRRR..,Queenstown Brewers,,6,,45,HZFB,Red rye IPA. 24% rye with NZ malts and hops.
"""Just Jane"" - Golden Ale",Relativity Brewing,,5.2,,,HZ35,"Rich, full flavoured multi grain Golden Ale with citrus hoppiness and a dry finish"
Great Punkin,Renaissance Brewing,,7.2,,26,HZFB,A red - orange medium bodied ale with pumpkin pie notes 
Snapperhead Imperial IPA,Rocky Knob Brewing Company,,7.4,,70,HZFB,"Big hops, tropical and passionfruit flavours, bitter palate, well balanced"
Nelson Sauvin Pilsner,Sprig & Fern,,5,,35,HZFB,Freshly hopped with Nelson Sauvin hops. Bold gooseberry and grapefruit
Motueka Pilsner,Sprig & Fern,,5,,33,NZPB,"Freshly hopped with Motueka hops. Passionfruit, tropical characteristics abound."
Obsessed,Steam Brewing,,8,,70,HZFB,"Red, hoppy, malty. Once I had a habit"
Pacific Ale,Stone & Wood ,,4.4,,20,HZAB,"Cloudy, golden, big fruity hops, refreshing"
Sunshine Brewery Gisborne Gold Lager,Sunshine Brewery,,4,,27,CZBB,Lightly toasted maltiness over a solid hop backbone
Sunshine Brewery Gisborne Pale Ale,Sunshine Brewery,,5.5,,58,CZBB,All NZ hop Pale Ale
West Coast International Pale Ale,The West Coast Brewery,,5,,36,HZFB,"Passion fruit, citrus and peach with a balanced bitterness"
Strong Red Ale,Three Boys Brewery,,7.2,,40,CZBB,"Red, stone fruit aroma, caramel malt finishing in an earthy bitterness."
Oyster Stout,Three Boys Brewery,,6.5,,50,CZBB,"Black, rich, malty, hints of seaside brine"
Black Tiramisu Barrel Aged Stout,Tuatara ,,8,,55,CZ22,Chocolate and coffee infused stout aged in fortified Barrels.
The Portly Abbot,Tuatara ,,9,,20,CZ22,Spicy apricot and toasted nut with a fine palate weight.
Koanga Saison ,Tuatara ,,5.7,,25,CZ22,"Spicy, peppery, aniseed aroma. Smoky rye belgium saison. "
Nova Pacifica ,Tuatara ,,5.2,,29,CZ22,Fruity Saison  with Nelson  Sauvin and Meridian Hops
Pilsner,Tuatara ,,5,,40,CZ22,Tropical hop aromas with a crisp lingering finish.
NZAPA,Tuatara ,,5.8,,45,CZ22,Rich spicy hop with a rich malt body.
